Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_PUMA5,Geo_GEO_ID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_QName,Geo_FIPS,Geo_AREALAND,Geo_AREAWATR,Geo_PLACESE,Geo_ZCTA3,SE_A14006_001
"ACSSF","pa","140","00",,,,"42","101",,,"000101",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,"1400000US42101000101","Census Tract 1.01",,,"Census Tract 1.01, Philadelphia County, Pennsylvania","42101000101","351883","0",,,108438
"ACSSF","pa","140","00",,,,"42","101",,,"000102",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,"1400000US42101000102","Census Tract 1.02",,,"Census Tract 1.02, Philadelphia County, Pennsylvania","42101000102","444406","0",,,108203
"ACSSF","pa","140","00",,,,"42","101",,,"000200",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,"1400000US42101000200","Census Tract 2",,,"Census Tract 2, Philadelphia County, Pennsylvania","42101000200","386232","0",,,97256
"ACSSF","pa","140","00",,,,"42","101",,,"000300",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,"1400000US42101000300","Census Tract 3",,,"Census Tract 3, Philadelphia County, Pennsylvania","42101000300","546267","22673",,,102330
"ACSSF","pa","140","00",,,,"42","101",,,"000401",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,"1400000US42101000401","Census Tract 4.01",,,"Census Tract 4.01, Philadelphia County, Pennsylvania","42101000401","216838","15884",,,89663
"ACSSF","pa","140","00",,,,"42","101",,,"000403",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,"1400000US42101000403","Census Tract 4.03",,,"Census Tract 4.03, Philadelphia County, Pennsylvania","42101000403","139616","0",,,187743
"ACSSF","pa","140","00",,,,"42","101",,,"000404",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,"1400000US42101000404","Census Tract 4.04",,,"Census Tract 4.04, Philadelphia County, Pennsylvania","42101000404","164084","0",,,93998
"ACSSF","pa","140","00",,,,"42","101",,,"000500",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,"1400000US42101000500","Census Tract 5",,,"Census Tract 5, Philadelphia County, Pennsylvania","42101000500","428760","0",,,68977
"ACSSF","pa","140","00",,,,"42","101",,,"000600",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,"1400000US42101000600","Census Tract 6",,,"Census Tract 6, Philadelphia County, Pennsylvania","42101000600","172652","0",,,145036
"ACSSF","pa","140","00",,,,"42","101",,,"000701",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,"1400000US42101000701","Census Tract 7.01",,,"Census Tract 7.01, Philadelphia County, Pennsylvania","42101000701","140499","0",,,90343
"ACSSF","pa","140","00",,,,"42","101",,,"000702",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,"1400000US42101000702","Census Tract 7.02",,,"Census Tract 7.02, Philadelphia County, Pennsylvania","42101000702","106191","7087",,,63200
"ACSSF","pa","140","00",,,,"42","101",,,"000801",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,"1400000US42101000801","Census Tract 8.01",,,"Census Tract 8.01, Philadelphia County, Pennsylvania","42101000801","99957","12755",,,130096
"ACSSF","pa","140","00",,,,"42","101",,,"000803",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,"1400000US42101000803","Census Tract 8.03",,,"Census Tract 8.03, Philadelphia County, Pennsylvania","42101000803","152822","0",,,86538
